Year	Month	Day	Hour	Minute	DayTime	StatA02cmA	StatA03cmU	StatA15cmU	StatB02cmA	StatB03cmU	StatB15cmU	StatD02cmA	StatD03cmU	StatD15cmU
2018	8	7	0	0	7,000	19,85	20,52	22,81	23,77	22,43	22,81	23,77	23,00	22,62
2018	8	7	0	15	7,004	20,71	20,71	22,72	23,58	22,62	22,81	23,68	23,10	22,62
2018	8	7	0	30	7,008	20,52	21,00	22,62	23,48	22,72	22,72	23,58	23,10	22,62
2018	8	7	0	45	7,013	20,62	20,90	22,53	23,39	22,81	22,72	23,68	23,10	22,62
2018	8	7	1	0	7,042	20,52	20,90	22,43	23,29	22,81	22,72	23,77	23,20	22,62
2018	8	7	1	15	7,046	20,71	21,00	22,33	23,20	22,91	22,72	23,77	23,20	22,72
2018	8	7	1	30	7,050	21,66	21,38	22,24	23,00	22,81	22,72	23,77	23,29	22,72
2018	8	7	1	45	7,054	21,66	21,57	22,24	23,10	22,81	22,72	23,77	23,29	22,72
2018	8	7	2	0	7,083	21,95	21,76	22,14	23,20	22,81	22,72	23,68	23,29	22,72
2018	8	7	2	15	7,088	22,05	21,86	22,14	23,29	22,91	22,72	23,58	23,29	22,72
2018	8	7	2	30	7,092	21,86	21,86	22,14	23,39	22,91	22,72	23,29	23,20	22,72
2018	8	7	2	45	7,096	21,95	21,86	22,14	23,29	22,91	22,72	23,29	23,20	22,81
2018	8	7	3	0	7,125	21,95	21,95	22,14	23,20	22,91	22,72	23,29	23,10	22,81
2018	8	7	3	15	7,129	22,14	21,95	22,14	23,00	22,91	22,72	23,39	23,10	22,81
2018	8	7	3	30	7,133	22,05	22,05	22,14	22,91	22,91	22,72	23,39	23,10	22,81
2018	8	7	3	45	7,138	21,95	22,05	22,05	22,91	22,81	22,72	23,39	23,20	22,81
2018	8	7	4	0	7,167	21,95	22,05	22,14	22,91	22,81	22,72	23,29	23,10	22,81
2018	8	7	4	15	7,171	21,66	21,95	22,05	23,00	22,81	22,72	23,29	23,10	22,81
2018	8	7	4	30	7,175	21,66	21,76	22,05	23,00	22,81	22,72	23,29	23,10	22,72
2018	8	7	4	45	7,179	21,86	21,86	22,05	22,91	22,81	22,72	23,29	23,10	22,81
2018	8	7	5	0	7,208	21,76	21,86	22,05	22,91	22,81	22,72	23,29	23,10	22,72
2018	8	7	5	15	7,213	21,28	21,76	22,05	22,81	22,81	22,72	23,10	23,10	22,81
2018	8	7	5	30	7,217	21,19	21,57	22,05	22,72	22,72	22,72	23,68	23,20	22,72
2018	8	7	5	45	7,221	20,90	21,38	22,05	22,62	22,72	22,72	23,10	23,20	22,72
2018	8	7	6	0	7,250	20,62	21,19	22,05	22,53	22,62	22,72	22,72	23,00	22,72
2018	8	7	6	15	7,254	20,04	20,90	21,95	22,62	22,62	22,62	23,10	22,91	22,72
2018	8	7	6	30	7,258	20,33	20,90	21,95	22,53	22,62	22,62	23,20	23,00	22,72
2018	8	7	6	45	7,263	19,76	20,90	21,86	22,24	22,62	22,62	22,91	22,91	22,72
2018	8	7	7	0	7,292	19,76	20,81	21,86	21,95	22,53	22,62	22,53	22,81	22,72
2018	8	7	7	15	7,296	21,00	20,81	21,86	21,47	22,43	22,62	22,24	22,72	22,72
2018	8	7	7	30	7,300	21,57	20,81	21,76	21,28	22,24	22,62	21,95	22,53	22,72
2018	8	7	7	45	7,304	21,95	21,00	21,76	21,57	22,14	22,53	21,95	22,33	22,62
2018	8	7	8	0	7,333	22,24	21,19	21,76	23,48	22,05	22,53	23,10	22,33	22,62
2018	8	7	8	15	7,338	23,48	21,57	21,76	24,55	22,05	22,43	24,45	22,43	22,62
2018	8	7	8	30	7,342	24,16	21,95	21,66	25,42	22,05	22,43	24,74	22,53	22,62
2018	8	7	8	45	7,346	24,93	22,43	21,66	26,20	22,14	22,43	25,13	22,72	22,53
2018	8	7	9	0	7,375	25,81	22,91	21,66	26,88	22,24	22,43	25,61	22,91	22,53
2018	8	7	9	15	7,379	26,68	23,39	21,66	27,76	22,43	22,33	26,49	23,10	22,53
2018	8	7	9	30	7,383	27,67	23,87	21,66	28,56	22,72	22,33	27,27	23,29	22,62
2018	8	7	9	45	7,388	28,46	24,35	21,76	29,05	23,00	22,33	27,67	23,58	22,62
2018	8	7	10	0	7,417	29,35	24,84	21,76	29,95	23,29	22,43	28,26	23,87	22,72
2018	8	7	10	15	7,421	30,15	25,32	21,86	31,06	23,58	22,43	29,05	24,26	22,72
2018	8	7	10	30	7,425	31,17	25,81	21,95	31,88	23,87	22,53	29,65	24,55	22,81
2018	8	7	10	45	7,429	32,29	26,39	22,05	33,33	24,26	22,62	30,36	24,93	22,91
2018	8	7	11	0	7,458	33,01	26,88	22,14	33,95	24,64	22,62	30,86	25,42	23,10
2018	8	7	11	15	7,463	33,85	27,37	22,24	34,06	25,03	22,81	31,27	25,90	23,20
2018	8	7	11	30	7,467	34,48	27,86	22,33	34,27	25,51	22,91	24,84	25,90	23,29
2018	8	7	11	45	7,471	34,69	28,26	22,53	29,25	25,90	23,10	24,64	25,03	23,39
2018	8	7	12	0	7,500	35,76	28,66	22,62	26,98	25,81	23,20	24,64	24,64	23,48
2018	8	7	12	15	7,504	33,43	28,95	22,81	26,10	25,61	23,39	24,93	24,55	23,48
2018	8	7	12	30	7,508	31,27	28,85	23,00	26,20	25,32	23,48	24,93	24,55	23,58
2018	8	7	12	45	7,513	28,85	27,47	23,10	26,29	25,13	23,68	24,74	24,45	23,58
2018	8	7	13	0	7,542	27,86	26,78	23,29	26,29	24,93	23,68	24,55	24,35	23,58
2018	8	7	13	15	7,546	27,67	26,59	23,39	26,10	24,84	23,77	24,74	24,35	23,58
2018	8	7	13	30	7,550	28,46	26,68	23,48	26,20	24,84	23,77	24,74	24,35	23,58
2018	8	7	13	45	7,554	29,45	26,98	23,58	26,29	24,74	23,77	24,74	24,26	23,58
2018	8	7	14	0	7,583	29,45	26,98	23,68	26,20	24,74	23,77	24,84	24,26	23,58
2018	8	7	14	15	7,588	29,45	27,08	23,77	26,20	24,74	23,77	24,84	24,35	23,58
2018	8	7	14	30	7,592	28,56	26,88	23,77	26,20	24,84	23,87	24,93	24,26	23,58
2018	8	7	14	45	7,596	28,46	26,88	23,87	26,10	24,84	23,87	24,84	24,35	23,58
2018	8	7	15	0	7,625	29,05	26,98	23,97	26,29	24,84	23,87	24,74	24,35	23,58
2018	8	7	15	15	7,629	29,35	27,17	23,97	26,49	24,84	23,87	24,64	24,26	23,58
2018	8	7	15	30	7,633	29,15	27,27	24,06	26,49	24,84	23,87	24,74	24,26	23,58
2018	8	7	15	45	7,638	29,05	27,27	24,06	26,59	24,84	23,87	24,74	24,26	23,58
2018	8	7	16	0	7,667	28,75	27,27	24,93	26,49	24,84	23,87	24,84	24,35	23,58
2018	8	7	16	15	7,671	28,75	27,27	24,93	26,49	24,84	23,87	24,93	24,35	23,58
2018	8	7	16	30	7,675	28,66	27,27	NA	26,59	24,84	23,87	24,84	24,35	23,58
2018	8	7	16	45	7,679	28,66	27,27	NA	26,59	24,84	23,97	24,74	24,35	23,58
2018	8	7	17	0	7,708	28,46	27,27	24,35	26,59	24,84	23,97	24,84	24,35	23,58
2018	8	7	17	15	7,713	28,56	27,27	24,45	26,59	24,84	23,97	24,93	24,35	23,58
2018	8	7	17	30	7,717	28,75	27,37	24,45	26,59	24,93	23,97	24,74	24,35	23,58
2018	8	7	17	45	7,721	28,75	27,37	24,55	26,49	24,93	23,97	24,93	24,35	23,58
2018	8	7	18	0	7,750	28,75	27,57	24,55	26,39	24,93	23,97	25,32	24,45	23,58
2018	8	7	18	15	7,754	28,95	27,76	24,64	26,49	24,93	23,97	25,51	24,55	23,58
2018	8	7	18	30	7,758	29,15	27,86	24,64	26,49	24,93	23,97	25,81	24,74	23,58
2018	8	7	18	45	7,763	29,35	28,16	24,74	26,68	24,93	23,97	26,10	24,93	23,68
2018	8	7	19	0	7,792	29,55	28,06	24,84	26,59	25,03	24,06	26,20	25,13	23,68
2018	8	7	19	15	7,796	28,26	27,57	24,84	26,39	25,13	24,06	26,00	25,13	23,68
2018	8	7	19	30	7,800	29,05	27,08	24,93	26,39	25,13	24,06	26,10	25,13	23,77
2018	8	7	19	45	7,804	27,67	26,78	24,93	26,88	25,13	24,06	26,00	25,22	23,77
2018	8	7	20	0	7,833	26,88	26,39	25,03	27,17	25,22	24,06	26,00	25,22	23,77
2018	8	7	20	15	7,838	26,78	26,29	25,03	26,98	25,32	24,16	26,20	25,22	23,87
2018	8	7	20	30	7,842	26,39	26,10	25,03	26,49	25,42	24,16	26,20	25,32	23,87
2018	8	7	20	45	7,846	26,20	25,81	25,03	25,81	25,32	24,16	25,13	25,22	23,87
2018	8	7	21	0	7,875	25,71	25,61	25,03	25,22	25,22	24,16	25,32	25,03	23,97
