MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;18-04-2023;11:38:00;;9,07;+.907E+01;Normale waarde;2023024813#714VP002'T0001469231#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;26-04-2023;10:38:00;;9,37;+.937E+01;Normale waarde;2023025573#714VP002'T0001473292#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;16-05-2023;10:34:00;;12,1;+.121E+02;Normale waarde;2023025842#714VP002'T0001475452#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;24-05-2023;10:41:00;;13,8;+.138E+02;Normale waarde;2023026457#714VP002'T0001481037#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;15-06-2023;11:07:00;;16,8;+.168E+02;Normale waarde;2023026713#714VP002'T0001482926#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;26-06-2023;10:04:00;;19,4;+.194E+02;Normale waarde;2023027125#714VP002'T0001486956#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;14-07-2023;10:16:00;;19,7;+.197E+02;Normale waarde;2023028513#714VP002'T0001493315#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;25-07-2023;11:31:00;;18,4;+.184E+02;Normale waarde;2023029017#714VP002'T0001496955#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;11-08-2023;10:54:00;;18,3;+.183E+02;Normale waarde;2023029262#714VP002'T0001499100#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
;Boomkensdiep;BOOMKDP;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;28-08-2023;10:16:00;;19,1;+.191E+02;Normale waarde;2023030104#714VP002'T0001503640#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;644154,032791618;5916615,84352232;;;;;;;
